FIPS,stn
21225,KINMOUNT11
18129,KINMTVER2
18057,KINNOBLE47
18103,KINPERU4
18075,KINPORTL2
18073,KINRENSS4
18147,KINRICHL5
18049,KINROCHE6
17045,KINSANDF1
18141,KINSOUTH20
18167,KINTERRE84
18127,KINVALPA105
18045,KINVEEDE4
18083,KINVINCE10
18125,KINWINSL3
20109,KKSCOLBY23
20021,KKSCOLUM8
20083,KKSDODGE4
20017,KKSEMPOR2
20111,KKSEMPOR2
20005,KKSEVERE5
20165,KKSHAYS56
20085,KKSHOLTO2
20061,KKSJUNCT24
20127,KKSJUNCT25
20045,KKSLAWRE4
20027,KKSLEONA3
20053,KKSMARQU5
20191,KKSMAYFI3
20079,KKSNEWTO14
20091,KKSOLATH160
20003,KKSOSAWA8
20121,KKSPAOLA17
20169,KKSSALIN52
20039,KKSSELDE3
20179,KKSSELDE4
20131,KKSSENEC8
20103,KKSTONGA20
20197,KKSWAMEG14
20059,KKSWELLS3
20173,KKSWICHI47
21179,KKYBARDS21
21203,KKYBEREA32
21039,KKYBLAND2
21229,KKYBLOOM5
21139,KKYCALVE4
21127,KKYCATLE5
21177,KKYCENTR34
21033,KKYEDDYV7
21069,KKYFARME2
21199,KKYFERGU4
21209,KKYGEORG40
21009,KKYGLASG15
21169,KKYGLASG15
21233,KKYHANSO9
21183,KKYHARTF4
21221,KKYHOPKI26
21143,KKYKUTTA3
21017,KKYLEXIN183
21107,KKYMADIS14
21113,KKYNICHO22
21011,KKYOWING6
21151,KKYRICHM39
21093,KKYRINEY9
21003,KKYSCOTT9
21215,KKYTAYLO20
17153,KKYWICKL2
21007,KKYWICKL2
29133,KKYWICKL2
21049,KKYWINCH22
22015,KLABENTO3
22007,KLALABAD4
22055,KLALAFAY84
22013,KLAMINDE6
22119,KLAMINDE9
22081,KLANATCH5
22077,KLANEWRO2
22097,KLAOPELO19
22043,KLAPINEV30
22011,KLARAGLE11
22083,KLARAYVI11
22031,KLASTONE16
22019,KLASULPH34
22093,KLAUNION2
22063,KLAWALKE18
22073,KLAWESTM40
25003,KMABECKE8
25015,KMAFLORE7
25009,KMAIPSWI25
25027,KMAJEFFE5
25019,KMANANTU41
25021,KMAWALPO15
24510,KMDBALTI122
24019,KMDCAMBR11
24035,KMDCENTR10
24001,KMDCUMBE23
24017,KMDLAPLA13
24037,KMDLEONA22
24041,KMDMARYL19
24015,KMDNORTH41
24045,KMDSALIS10
23011,KMEAUGUS14
23009,KMEELLSW50
23007,KMENEWPO6
23017,KMENEWRY5
23013,KMEROCKL7
23023,KMEWOOLW12
26057,KMIALMA10
26007,KMIALPEN31
26161,KMIANNAR135
26119,KMIATLAN11
26087,KMIATTIC2
26063,KMIBADAX3
26097,KMIBEAVE9
26009,KMIBELLA10
26013,KMICHASS9
26061,KMICHASS9
26049,KMIFLINT25
26081,KMIGRAND375
26103,KMIISHPE11
26075,KMIJACKS9
26077,KMIKALAM108
26065,KMIMASON6
26111,KMIMIDLA54
26115,KMIMONRO14
26051,KMIPRUDE8
26143,KMIPRUDE8
26127,KMIROTHB2
26037,KMISTJOH11
26139,KMIZEELA34
27141,KMNBECKE2
27097,KMNBELLE14
27043,KMNBLUEE10
27171,KMNBUFFA5
27061,KMNCOHAS10
27153,KMNCUSHI4
27137,KMNEVELE4
27111,KMNEVERT4
27085,KMNGLENC2
27039,KMNKASSO13
27055,KMNLACRE6
27033,KMNLAMBE4
27079,KMNLECEN5
27023,KMNMONTE4
27149,KMNMORRI15
27103,KMNNICOL4
27163,KMNOAKPA4
27105,KMNREADI2
27087,KMNRICHW2
27109,KMNROCHE426
27037,KMNROSEM3
27009,KMNSAUKR5
27101,KMNSEWAR3
27089,KMNTHIEF7
27113,KMNTHIEF7
27019,KMNWACON11
27067,KMNWILLM11
27169,KMNWINON14
29135,KMOCALIF12
29209,KMOCAPEF9
29097,KMOCARTH16
29087,KMOFAIRF2
29031,KMOJACKS30
29145,KMOJOPLI48
29047,KMOKEARN13
05021,KMOKENNE4
29069,KMOKENNE4
29001,KMOKIRKS12
29151,KMOLINN2
29007,KMOMEXIC4
29137,KMOMONRO6
29043,KMOOZARK8
29003,KMOSAVAN12
17003,KMOSCOTT4
29201,KMOSCOTT4
29055,KMOSTEEL12
29175,KMOSTURG1
29111,KMOTAYLO1
29113,KMOTROY18
29071,KMOUNION7
29141,KMOVERSA5
29015,KMOWARSA11
29085,KMOWHEAT11
29009,KMOWHEAT3
28045,KMSBAYSA4
28121,KMSBRAND68
28163,KMSCANTO10
28003,KMSCORIN4
28117,KMSCORIN9
28139,KMSCORIN9
28067,KMSELLIS5
28127,KMSFLORE3
28137,KMSHERNA52
28089,KMSMADIS49
28113,KMSMCCOM16
28023,KMSMERID19
28033,KMSNESBI11
28041,KMSNEWAU4
28111,KMSNEWAU4
28073,KMSPURVI4
28131,KMSSAUCI9
28105,KMSSTARK28
01075,KMSSTEEN6
28149,KMSVICKS24
30099,KMTCHOTE33
30101,KMTFERDI1
30081,KMTHAMIL13
30041,KMTHAVRE32
30067,KMTLIVIN70
30063,KMTMISSO124
30091,KMTPLENT11
37031,KNCBEAUF24
37033,KNCBLANC2
37019,KNCBOLIV16
37175,KNCBREVA34
37199,KNCBURNS42
37063,KNCDURHA225
37001,KNCGRAHA13
37181,KNCHENDE151
37185,KNCHENDE26
37135,KNCHILLS36
37107,KNCKINST2
37103,KNCNEWBE43
37193,KNCNORTH38
37065,KNCPINET4
37093,KNCRAEFO11
37183,KNCRALEI123
37075,KNCROBBI24
37115,KNCSANDY6
37105,KNCSANFO29
37005,KNCSPART38
37003,KNCTOWNS2
37061,KNCTURKE3
37087,KNCWAYNE63
37173,KNCWHITT12
37195,KNCWILSO12
37197,KNCYADKI6
38017,KNDCASSE7
38007,KNDDICKI17
38097,KNDGRAND28
27119,KNDGRAND44
38035,KNDGRAND45
38051,KNDKULM7
38037,KNDMANDA9
38093,KNDPINGR3
31083,KNEALMA4
31099,KNEAXTEL2
31145,KNECAMBR9
31169,KNECARLE5
31067,KNECORTL4
31011,KNEELGIN4
31073,KNEELWOO5
31183,KNEEWING12
31059,KNEGENEV17
31007,KNEGERIN8
31163,KNEHAZAR4
31043,KNEHOMER3
31055,KNEOMAHA524
31173,KNEPENDE5
31081,KNEPHILL2
31167,KNEPIERC6
31157,KNESCOTT4
31159,KNESEWAR17
31131,KNESYRAC1
31185,KNEYORK11
33001,KNHGILFO14
33017,KNHROCHE25
33009,KNHRUMNE4
34007,KNJBERLI14
34039,KNJCRANF9
34015,KNJGLASS8
34021,KNJLAWRE16
34011,KNJMILLV24
34003,KNJRIVER28
34013,KNJWESTO4
34033,KNJWOODS5
35035,KNMALAMO64
35027,KNMCAPIT16
35015,KNMCARLS24
35041,KNMCLOVI57
35037,KNMCLOVI67
35025,KNMHOBBS14
35028,KNMLOSAL73
35005,KNMROSWE33
35053,KNMSOCOR23
32001,KNVFALLO33
32005,KNVGARDN28
06027,KNVPAHRU86
32007,KNVSPRIN1
32021,KNVYERIN16
36001,KNYALBAN65
36073,KNYALBIO10
36025,KNYANDES2
36011,KNYAUBUR21
36083,KNYAVERI14
36037,KNYBATAV18
36103,KNYCALVE11
36069,KNYCANAN43
36089,KNYCANTO4
36047,KNYDITMA2
36035,KNYGLOVE20
36109,KNYITHAC52
36107,KNYNEWAR16
36029,KNYORCHA6
36017,KNYOXFOR4
36065,KNYROME14
36099,KNYROMUL2
36085,KNYSTATE8
36095,KNYSUMMI7
36121,KNYWARSA9
39005,KOHASHLA10
39033,KOHBUCYR15
39055,KOHBURTO8
39129,KOHCIRCL10
39153,KOHCUYAH30
39135,KOHEATON9
39053,KOHGALLI2
54053,KOHGALLI2
39015,KOHGEORG3
39017,KOHHAMIL81
39071,KOHHILLS19
39035,KOHINDEP3
39065,KOHKENTO9
39003,KOHLIMA5
39131,KOHLUCAS2
39167,KOHMARIE17
39101,KOHMARIO23
39103,KOHMEDIN47
39171,KOHMONTP7
39083,KOHMOUNT31
39117,KOHMOUNT58
39077,KOHNORWA13
39123,KOHOAKHA7
39093,KOHOBERL3
39125,KOHPAULD13
39043,KOHSANDU12
39087,KOHSOUTH38
39147,KOHTIFFI30
39175,KOHUPPER8
39011,KOHWAPAK16
39163,KOHWELLS9
21135,KOHWESTU10
39001,KOHWESTU10
39081,KOHWINTE1
40019,KOKARDMO9
40147,KOKBARTL39
40113,KOKBARTL43
40073,KOKCASHI6
40053,KOKENID28
40083,KOKGUTHR23
40031,KOKLAWTO37
40081,KOKLUTHE7
40069,KOKMEAD3
40101,KOKMUSKO41
40037,KOKSAPUL15
40133,KOKSEMIN7
40109,KOKSPENC1
40061,KOKSTIGL7
40099,KOKSULPH6
40049,KOKSULPH9
40035,KOKVINIT8
41001,KORBAKER13
41011,KORBANDO15
41017,KORBEND69
41029,KOREAGLE4
41067,KORFORES43
41043,KORFOSTE2
41051,KORGRESH97
41061,KORLAGRA29
41031,KORMADRA30
41047,KORSILVE18
41057,KORTILLA50
41009,KORVERNO9
42013,KPAALTOO41
42037,KPABLOOM27
42019,KPABUTLE27
42047,KPADAGUS2
42051,KPADUNBA2
42109,KPAFREEB3
42001,KPAGETTY32
42029,KPAGOOSE2
42103,KPAHAWLE14
42127,KPAHONES11
42061,KPAHUNTI7
42091,KPALANSD37
42117,KPAMANSF12
42043,KPAMARYS5
42039,KPAMEADV16
42045,KPAMEDIA21
42095,KPANAZAR4
42073,KPANEWCA30
42121,KPAOILCI10
42067,KPAPORTR6
42065,KPAREYNO2
42111,KPASOMER7
42097,KPASUNBU5
42089,KPATANNE10
42123,KPAWARRE20
42133,KPAYORK16
44005,KRIMIDDL21
44007,KRINORTH55
45001,KSCABBEV14
37165,KSCBENNE11
45011,KSCBLACK7
45019,KSCCHARL1069
45079,KSCCOLUM124
45021,KSCGAFFN39
45043,KSCGEORG29
45045,KSCGREEN133
45059,KSCLAURE3
45063,KSCLEXIN125
45027,KSCMANNI4
45015,KSCMONCK13
45017,KSCORANG20
45075,KSCORANG20
45035,KSCRIDGE14
45053,KSCRIDGE24
45037,KSCTRENT6
46103,KSDBOXEL18
46013,KSDCOLUM2
27117,KSDFLAND5
46101,KSDFLAND5
46102,KSDHOTSP16
46093,KSDPIEDM19
46003,KSDPLANK5
46073,KSDPLANK5
46087,KSDSALEM7
27133,KSDVALLE4
46029,KSDWATER16
47069,KTNBOLIV4
47167,KTNBRIGH2
05093,KTNBURLI5
47085,KTNCAMDE11
47005,KTNCAMDE8
21219,KTNCLARK127
47011,KTNCLEVE58
47119,KTNCOLUM55
47097,KTNCOVIN8
47007,KTNDAYTO2
47051,KTNDECHE3
47045,KTNDYERS21
47139,KTNFARNE5
47187,KTNFRANK88
47019,KTNHAMPT1
47013,KTNJACKS78
47049,KTNJAMES9
47137,KTNJAMES9
47163,KTNKINGS130
47145,KTNKINGS138
51169,KTNKINGS91
47093,KTNKNOXV266
47117,KTNLEWIS8
47039,KTNLEXIN9
47027,KTNLIVIN5
47105,KTNLOUDO34
47173,KTNLUTTR3
47031,KTNMANCH10
47177,KTNMCMIN28
47149,KTNMURFR39
47029,KTNNEWPO17
47001,KTNNORRI2
47073,KTNROGER11
47071,KTNSAVAN10
47143,KTNSPRIN100
47121,KTNSPRIN124
48377,KTXALPIN51
48011,KTXAMARI170
48025,KTXBEEVI18
48027,KTXBELTO23
48227,KTXBIGSP19
48147,KTXBONHA5
48065,KTXBORGE17
48049,KTXBROWN48
48053,KTXBURNE55
48051,KTXCALDW20
48467,KTXCANTO14
48359,KTXCANYO151
48437,KTXCANYO40
48093,KTXCOMAN8
48349,KTXCORSI20
48209,KTXDRIFT31
48239,KTXEDNA3
48099,KTXGATES26
48459,KTXGILME13
48425,KTXGLENR11
48177,KTXGONZA24
48221,KTXGRANB111
48231,KTXGREEN5
48293,KTXGROES10
48285,KTXHALLE18
48193,KTXHAMIL13
48401,KTXHENDE23
48009,KTXHOLLI2
48005,KTXHUNTI2
48185,KTXIOLA8
48067,KTXJEFFE16
48315,KTXJEFFE16
48031,KTXJOHNS22
48257,KTXKAUFM32
48273,KTXKINGS16
48055,KTXLOCKH15
48183,KTXLONGV80
48303,KTXLUBBO185
48213,KTXMALAK6
48329,KTXMIDLA145
48399,KTXMILES9
48385,KTXMOUNT50
48347,KTXNACOG34
48163,KTXNATAL4
48135,KTXODESS31
48103,KTXODESS56
48461,KTXODESS56
48361,KTXORANG15
48129,KTXPAMPA13
48179,KTXPAMPA13
48211,KTXPAMPA25
48393,KTXPAMPA25
48499,KTXQUITM11
48157,KTXRICHM42
48261,KTXRIVIE6
48029,KTXSANAN496
48189,KTXSHALL8
48253,KTXSTAMF10
48151,KTXSWEET13
48353,KTXSWEET14
48175,KTXVICTO72
48035,KTXWALNU3
48139,KTXWAXAH49
48219,KTXWOLFF24
49001,KUTCEDAR27
49051,KUTHEBER16
49015,KUTMOAB27
49019,KUTMOAB27
49045,KUTSTOCK5
49055,KUTTORRE8
49053,KUTWASHI29
51007,KVAAMELI9
51173,KVAATKIN3
51117,KVABRACE3
51023,KVABUCHA1
51149,KVACOLON27
51047,KVACULPE31
51017,KVADENMA3
51029,KVADILLW10
51049,KVADILLW10
51059,KVAFAIRF127
51175,KVAFRANK16
51033,KVAFREDE180
51031,KVAGLADY2
51183,KVAIVOR1
51099,KVAKINGG37
51107,KVALEESB102
51113,KVAMADIS5
51153,KVAMANAS87
51197,KVAMAXME13
51193,KVAMONTR6
51700,KVANEWPO142
51001,KVAONANC5
51137,KVAORANG17
51065,KVAPALMY25
51145,KVAPOWHA36
51760,KVARICHM154
51067,KVAROCKY24
51011,KVARUSTB17
51161,KVASALEM2
51119,KVASALUD6
51083,KVASOUTH16
51800,KVASUFFO76
51061,KVAWARRE67
51159,KVAWARSA7
51157,KVAWASHI9
51069,KVAWINCH96
50003,KVTARLIN7
50005,KVTDANVI3
50001,KVTMIDDL16
50023,KVTMONTP5
50015,KVTMORRI13
50025,KVTNEWFA5
53035,KWABREME129
53003,KWACLARK35
53043,KWADAVEN4
53013,KWADAYTO19
53055,KWADEERH5
53073,KWADEMIN9
53025,KWAEPHRA19
53039,KWAGOLDE18
53041,KWAMORTO7
53001,KWAOTHEL19
53045,KWASHELT95
53077,KWAWAPAT2
55075,KWIATHEL1
55005,KWIBARRO7
55127,KWIDELAV11
55119,KWIDORCH2
55035,KWIFALLC9
55037,KWIFLORE8
55039,KWIFONDD50
55001,KWIFRIEN13
55049,KWIHOLLA2
55027,KWIJUNEA3
55078,KWIKESHE8
55051,KWIMANIT37
55033,KWIMENOM61
55045,KWIMONRO8
55021,KWIPARDE5
26071,KWIPHELP2
55111,KWIREEDS18
55085,KWIRHINE21
55023,KWISOLDI9
55129,KWISPOON4
55097,KWISTEVE13
55081,KWITOMAH6
55133,KWIWAUKE43
55131,KWIWESTB9
54097,KWVADRIA1
54065,KWVBERKE22
54033,KWVBRIDG17
54023,KWVDAVIS33
54071,KWVFRANK12
54007,KWVGASSA8
54091,KWVGRAFT13
21019,KWVKENOV4
54055,KWVLILLY3
54103,KWVMIDDL5
54061,KWVMORGA84
54051,KWVMOUND13
54011,KWVONA12
54107,KWVPARKE12
54043,KWVSALTR2
56019,KWYBUFFA27
56029,KWYCODY26
56005,KWYGILLE80
56037,KWYROCKS4
56011,KWYSUNDA10
56017,KWYTHERM18
